timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549241833412,11,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,11,0,6
1549241833430,5,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,4,0,0
1549241833435,5,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,5,0,1
1549241833441,3,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833445,3,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833449,3,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833452,4,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,4,0,1
1549241833456,3,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833460,3,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833463,4,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,4,0,1
1549241833467,6,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,5,0,1
1549241833473,7,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,7,0,1
1549241833481,4,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,3,0,0
1549241833485,4,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,4,0,0
1549241833489,6,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,5,0,1
1549241833495,9,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,8,0,1
1549241833505,11,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,10,0,1
1549241833523,18,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,18,0,1
1549241833542,11,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,10,0,1
1549241833553,12,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-1,text,true,,367,123,1,1,http://localhost:8080/user/,11,0,1
1549241833914,12,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,11,0,1
1549241833927,16,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,15,0,2
1549241833944,18,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,17,0,3
1549241833963,17,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,16,0,2
1549241833981,24,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,23,0,2
1549241834006,17,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,16,0,1
1549241834026,11,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,11,0,2
1549241834038,8,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,7,0,1
1549241834046,8,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,7,0,1
1549241834054,11,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,10,0,1
1549241834066,9,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,9,0,1
1549241834076,7,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,6,0,1
1549241834083,7,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,6,0,1
1549241834091,6,User Get Request - HTTP Request,200,,ProjectManager - Rest Services - Load Testing 1-2,text,true,,367,123,1,1,http://localhost:8080/user/,5,0,1
